,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIFO,LIFO,LOR,LPT,LTPT,MOR,SPT,STPT,Random_Random Strategy,SoTA-PPO,GAT,GNN,GKAT,MAX,AVG,Padding_Zero,Bellman,D3QPN,GWO,GA,DE,Transfer-D3QPN,Optimal_strategy,MOR+LPT,LOR+SPT,FCFS*S,SI/Q
la30,MAKESPAN,1677,1911,1847,1953,1717,1565,1792,1956,1697,1588,1677,1657,1677,1723,1677,1792,1717,1565,1866,2006,1946,1565,1355,1868,1781,1639,1751
(10*20),Scheduling time,0.18,0.21,0.41,0.45,0.49,0.28,0.81,0.32,0.6,0.66,0.76,0.95,4.74,0.62,0.58,2.13,0.57,5.46,36.2,3.14,1454.23,0.67,,0.29,0.27,0.23,0.23
,Standard deviation,0,0,0,0,0,0,0,0,103.94,29.88,0,0,0,25.02,0,0,0,25.44,78.98,73.43,46.4,0,,65.86,57.1,73.27,55
la31,MAKESPAN,1825,2064,2129,2245,2083,1836,1951,2270,2037,1988,2097,1944,2097,2287,2097,1951,2293,1784,2425,2553,2477,1820,1784,2216,1995,1896,1983
(10*30),Scheduling time,0.34,0.39,0.78,0.81,0.87,0.58,0.71,0.81,1.57,1,1.9,2.08,9.93,1.69,1.62,7.26,1.52,13.17,42,3.18,1549.93,1.9,,0.54,0.52,0.45,0.46
,Standard deviation,0,0,0,0,0,0,0,0,79.32,46.25,4.28,0,0,29.2,0,0,0,33.56,57.35,71.71,52.01,2.24,,76.04,87.23,53.81,84.65
la32,MAKESPAN,2010,2394,2374,2470,2300,1984,2165,2345,2148,2085,2235,2063,2236,2446,2236,2165,2454,1943,2580,2726,2646,1889,1850,2431,2281,2068,2252
(10*30),Scheduling time,0.35,0.41,0.63,0.86,0.81,0.78,0.7,0.83,1.72,1.02,2,2.64,10.31,1.79,1.63,7.12,1.58,13.11,42.76,3.19,1550.52,1.98,,0.58,0.55,0.48,0.48
,Standard deviation,0,0,0,0,0,0,0,0,94.34,57.73,10.07,0,0,48.9,0,0,0,49.15,69.4,77.52,54.61,1.89,,98.43,71,62.9,80.9
la33,MAKESPAN,1875,2166,2411,2297,2070,1811,1901,2142,2045,1876,2175,2296,2175,2253,2175,1901,2268,1792,2361,2497,2415,1811,1719,2248,1987,1916,1976
(10*30),Scheduling time,0.41,0.4,0.66,0.8,0.66,0.82,0.66,0.75,1.98,1.04,2.71,2.94,10.59,1.59,1.53,6.25,1.43,12.48,43.86,3.17,1550.58,2.39,,0.52,0.52,0.45,0.45
,Standard deviation,0,0,0,0,0,0,0,0,90.03,47.2,0,0,0,31.12,0,0,0,29.51,62.53,74.98,49.94,1.19,,77.24,63.17,52.31,64.69
la34,MAKESPAN,1913,2210,2545,2330,2063,1853,2070,2108,2037,1903,2236,2082,2236,2341,2236,2070,2353,1849,2402,2550,2462,1831,1721,2310,2140,1932,2069
(10*30),Scheduling time,0.34,0.52,0.82,0.84,0.7,0.83,0.78,0.93,1.92,1.07,2.67,3.18,10.53,1.97,1.66,6.78,1.66,12.92,43.93,3.17,1551.26,2.32,,0.53,0.53,0.43,0.46
,Standard deviation,0,0,0,0,0,0,0,0,82.8,44.38,0,0,0,59.19,0,0,0,35.79,73.62,70.07,57.7,3.69,,68.84,88.55,41.64,82.05
la35,MAKESPAN,2126,2266,2350,2349,2390,2064,2118,2383,2276,2071,2225,2205,2225,2339,2225,2118,2333,1930,2601,2733,2669,1897,1888,2404,2210,2056,2157
(10*30),Scheduling time,0.35,0.41,0.81,0.72,0.9,0.65,0.9,0.77,1.96,1.07,2.29,3.13,10.18,1.83,1.75,6.46,1.74,13.74,43.1,3.18,1552.57,2.25,,0.54,0.51,0.45,0.45
,Standard deviation,0,0,0,0,0,0,0,0,120.2,66.95,0,0,0,16.8,0,0,0,39.73,80.46,75.06,60.31,6.51,,69.4,56.07,62.18,65.65
la36,MAKESPAN,1661,1771,1932,1737,1750,1492,1799,1894,1704,1520,1653,1569,1654,1771,1654,1799,1771,1481,1790,1989,1903,1429,1268,1823,1843,1677,1800
(15*15),Scheduling time,0.18,0.21,0.43,0.37,0.36,0.34,0.4,0.41,0.54,0.77,0.74,0.8,4.8,0.54,0.52,1.18,0.44,4.61,39.68,3.1,1485,0.54,,0.27,0.27,0.23,0.24
,Standard deviation,0,0,0,0,0,0,0,0,110.09,50.7,7.06,0,0,40.05,0,0,0,62.08,70.81,69.44,47.83,6.27,,115.29,85.34,76.61,96.79
la37,MAKESPAN,1766,1822,1943,1944,1679,1606,1655,1745,1765,1681,1727,1658,1727,1659,1727,1655,1653,1615,2014,2178,2119,1606,1397,1866,1728,1717,1714
(15*15),Scheduling time,0.18,0.21,0.43,0.37,0.5,0.32,0.35,0.4,0.58,0.79,0.74,0.87,5.15,0.56,0.48,1.41,0.5,5.66,38.95,3.08,1481.56,0.63,,0.27,0.27,0.23,0.25
,Standard deviation,0,0,0,0,0,0,0,0,112.15,57.03,0,0,0,38.83,0,0,0,18.33,90.56,63.98,55.17,0,,90.2,132.56,57.67,112.48
la38,MAKESPAN,1666,1592,1741,1732,1648,1455,1404,1838,1573,1533,1712,1823,1710,1653,1710,1404,1650,1496,1779,1959,1869,1370,1196,1662,1528,1622,1492
(15*15),Scheduling time,0.17,0.2,0.41,0.46,0.29,0.41,0.31,0.41,0.55,0.77,0.72,0.93,5.17,0.57,0.52,1.29,0.56,4.84,39.01,3.07,1482.54,0.54,,0.26,0.26,0.22,0.23
,Standard deviation,0,0,0,0,0,0,0,0,96.25,50.12,21.29,0,0,10.97,0,0,0,81.63,79.71,60.34,57.01,11.9,,74.69,63.3,77.09,77.61
la39,MAKESPAN,1519,1704,1641,1625,1702,1540,1534,1602,1598,1550,1626,1540,1625,1609,1625,1534,1606,1512,1822,1983,1917,1540,1233,1623,1548,1608,1546
(15*15),Scheduling time,0.17,0.21,0.4,0.31,0.32,0.36,0.37,0.38,0.56,0.79,0.71,0.95,5.21,0.6,0.55,1.16,0.59,4.5,35.96,3.06,1484.03,0.59,,0.26,0.25,0.23,0.23
,Standard deviation,0,0,0,0,0,0,0,0,77.88,43.38,7.26,0,0,14.69,0,0,0,44.12,83.7,65.66,52.61,5.47,,61.38,63.71,57.78,55.16
la40,MAKESPAN,1561,1681,1631,1822,1607,1358,1476,1613,1573,1500,1504,1894,1504,1756,1504,1476,1760,1622,1792,1965,1894,1358,1222,1709,1493,1508,1481
(15*15),Scheduling time,0.17,0.2,0.45,0.3,0.31,0.37,0.29,0.38,0.58,0.79,0.75,0.9,5.29,0.57,0.58,1.23,0.57,5.16,34.48,3.09,1484.62,0.55,,0.26,0.26,0.22,0.23
,Standard deviation,0,0,0,0,0,0,0,0,127.72,47.43,3.78,0,0,28.42,0,0,0,110.26,97.17,65.19,53.54,0,,83.1,57.93,67.97,66.19
orb01,MAKESPAN,1345,1365,1410,1410,1308,1307,1478,1458,1372,1337,1397,1307,1394,1443,1394,1478,1460,1141,1415,1520,1495,1307,1059,1392,1470,1317,1402
(10*10),Scheduling time,0.08,0.09,0.12,0.17,0.13,0.14,0.12,0.17,0.22,0.35,0.24,0.26,1.83,0.23,0.25,0.46,0.22,1.8,29.07,2.99,1259.24,0.25,,0.11,0.11,0.09,0.1
,Standard deviation,0,0,0,0,0,0,0,0,76.24,34.13,21.53,0,0,50.66,0,0,0,86.01,71.31,58.87,30.32,7.76,,35.06,130.58,47.25,111.21
orb02,MAKESPAN,1036,1188,1194,1293,1067,1047,1175,1166,1122,1083,1059,1166,1058,1192,1058,1174,1188,990,1123,1226,1209,1047,888,1279,1121,1045,1119
(10*10),Scheduling time,0.06,0.07,0.11,0.12,0.16,0.11,0.11,0.14,0.17,0.35,0.19,0.2,1.86,0.19,0.19,0.34,0.19,1.48,29.61,3,1261.75,0.22,,0.1,0.1,0.08,0.08
,Standard deviation,0,0,0,0,0,0,0,0,74.89,41.42,12.65,0,0,13.63,0,10.94,0,6.35,60.58,48.38,35.8,0,,49.9,62.97,43.18,58.25
orb03,MAKESPAN,1415,1380,1297,1430,1339,1445,1179,1295,1372,1423,1469,1387,1412,1326,1472,1179,1306,1240,1376,1495,1510,1174,1005,1454,1177,1230,1191
